index,Título,Propósito general del curso,Área temática,Nivel,Resultados de aprendizaje esperados,proposito_norm
78,"¿Qué conservar, cómo y por qué? Fundamentos para la conservación ambiental.",Conocer los fundamentos básicos de la conservación ambiental desde los retos latinoamericanos.,"Ciencias humanas
Biología
Estudios medioambientales",Introductorio,"* Conocer algunos conceptos importantes relacionados con la conservación como servicios ecosistémicos y contribuciones de la naturaleza a las personas, así como  los principales motores de pérdida.

* Identificar los motores de deforestación y su relación con el cambio climático y su impacto sobre la biodiversidad.

*  Identificar los indicadores que existen para establecer valoraciones de la naturaleza a partir del concepto  de valor aplicado al área ambiental.

* Conocer algunos de los principales métodos de conservación,  categorías de manejo de áreas protegidas, así como sus atributos.

* Diferenciar el monitoreo de la evaluación de impacto y sus características, a través de experiencias de implementación.",conocer conceptos importantes relacionados conservación servicios ecosistémicos contribuciones naturaleza personas principales motores pérdida identificar motores deforestación relación cambio climático impacto biodiversidad identificar indicadores existen establecer valoraciones naturaleza partir concepto valor aplicado ambiental conocer principales métodos conservación categorías manejo áreas protegidas atributos diferenciar monitoreo evaluación impacto características través experiencias implementación 
79,Ecología Política  y conflictos socioambientales,Comprender los problemas políticos y las desigualdades sociales que se relacionan con la crisis ecológica.,"Ciencias humanas
Biología
Estudios medioambientales
",Introductorio,"* Conocer el concepto de ecología política, sus generaciones y objetos de estudio.

* Identificar las características y discusiones de los conflictos socio ambientales en torno al desarrollo y la infraestructura.

* Identificar las características y discusiones de los conflictos socio ambientales en torno a la conservación.

* Conocer algunas discusiones del eco feminismo y la representación.

* Reflexionar sobre las consecuencias negativas del modelo económico, las alternativas al desarrollo y sobre como imaginar otros mundos posibles desde el collage.",conocer concepto ecología política generaciones objetos estudio identificar características discusiones conflictos socio ambientales torno desarrollo infraestructura identificar características discusiones conflictos socio ambientales torno conservación conocer discusiones feminismo representación reflexionar consecuencias negativas modelo económico alternativas desarrollo imaginar mundos posibles collage 
80,Introducción a la Gobernanza Ambiental,Identiicar la  responsabilidad de los Estados sobre el cuidado del medio ambiente.,Ciencias humanas,Introductorio ,"* Identificar los lineamientos internacionales en materia de cuidado ambiental, así como los elementos de responsabilidad de los Estados.

* Conocer las particularidades del Acuerdo de Escazú, uno de los más importantes en cuanto a protección del medio ambiente.

* Definir la participación y aproximarse a los mecanismos y dilemas que la conforman.

* Analizar la gobernanza ambiental desde discusiones sobre el pluralismo jurídico, la acción comunitaria y el manejo de los comunes. 

* Identificar la importancia de los indicadores ambientales como herramientas de medición de gobernanza ambiental, con el fin de aplicarlos y poderlos comparar en los distintos contextos locales, nacionales e internacionales.

* Analizar la gobernanza ambiental a través de mecanismos económicos o de mercado.",identificar lineamientos internacionales materia cuidado ambiental elementos responsabilidad conocer particularidades acuerdo escazú importantes cuanto protección medio ambiente definir participación aproximarse mecanismos dilemas conforman analizar gobernanza ambiental discusiones pluralismo jurídico acción comunitaria manejo comunes identificar importancia indicadores ambientales herramientas medición gobernanza ambiental aplicarlos poderlos comparar distintos contextos locales nacionales internacionales analizar gobernanza ambiental través mecanismos económicos mercado 
81,Internet de las cosas (IoT) y Big Data,"Aprender herramientas avanzadas para la gestión de proyectos en el campo de la programación, los sistemas de almacenamiento y la gestión de bases de datos, y las tecnologías en comunicación por medio de protocolos de Node red; todas ellas clave en el desarrollo de aplicaciones de Internet de las Cosas (IoT) y su relación con el Big Data.",Análisis de datos y computación,Intermedio ,"* Conocer los principales repositorios Git para el control de versionamiento en eldesarrollo de software enfocado a proyectos.
*Gestionar bases de datos relacionales y no relacionales a través de herramientas de desarrollo IoT.
* Conocer y utilizar herramientas para la creación de interfaces de usuario.
* Conocer los usos y aplicaciones del IoT con Big Data.",conocer principales repositorios control versionamiento eldesarrollo software enfocado proyectos gestionar bases datos relacionales relacionales través herramientas desarrollo conocer utilizar herramientas creación interfaces usuario conocer aplicaciones data 
82,Introducción al Internet de las cosas (IoT) y sus aplicaciones,Cómo se realiza la interconexión digital entre dispositivos inteligentes utilizando redes de comunicación como Internet.,Análisis de datos y computación,Introductorio,"* Contextualizar al estudiante sobre los conceptos principales de Internet de las Cosas.
* Conocer los dispositivos más utilizados en el desarrollo de prototipos de Internet de las Cosas.
* Conocer los principales protocolos de comunicación utilizados en Internet de las Cosas.
* Observar algunos casos de estudio de diferentes áreas donde se usa IoT.",contextualizar estudiante conceptos principales internet cosas conocer dispositivos utilizados desarrollo prototipos internet cosas conocer principales protocolos comunicación utilizados internet cosas observar casos estudio diferentes áreas 
83,Transferencia de la investigación para la ciencia abierta,"Reconocer los  productos investigativos como uno de los escenarios de la ciencia e innovación abierta,  en el marco de la vinculación de la Universidad con la Empresa-Estado-Comunidad-Ambiente.","Ciencias humanas
Ciencias sociales",Intermedio ,"* Reconocerás el marco de referencia del entorno de ecosistema de innovación y la transferencia en el ámbito investigativo.

* Conocerás herramientas de búsqueda de tendencias, problemáticas actuales, novedades y construcción de alternativas de solución para la ideación e identificación de necesidades.

* Aprenderás las bases para la estructuración de productos o servicios. Podrás conocer los análisis de los modelos de medición de productos y servicios, obtener los conceptos básicos para construcción y gestión de productos mínimos viables.",reconocerás marco referencia entorno ecosistema innovación transferencia ámbito investigativo conocerás herramientas búsqueda tendencias problemáticas actuales novedades construcción alternativas solución ideación identificación necesidades aprenderás bases estructuración productos servicios podrás conocer análisis modelos medición productos servicios obtener conceptos básicos construcción gestión productos mínimos viables 
84,Integridad científica: herramientas para las buenas prácticas de investigación, Identificar las principales conductas cuestionables en la investigación científica y a utilizar novedosas estrategias para mejorar los estándares en investigación.,"Ciencias humanas
Ciencias sociales",Intermedio ,"* Aproximación a los pilares y retos de la ciencia abierta y generalidades de la integridad científica.

* Se comprenderá qué son los conflictos de interés y la noción del riesgo en la investigación.

* Aproximación al uso de datos de investigación y el consentimiento informado.

* Comprensión sobre la ética de las publicaciones desde el uso de datos, las autorías y otros reconocimientos en las publicaciones.
",aproximación pilares retos ciencia abierta generalidades integridad científica comprenderá conflictos interés noción riesgo investigación aproximación datos investigación consentimiento informado comprensión ética publicaciones datos autorías reconocimientos publicaciones 
85,Introducción a la ciberseguridad,"Reconocer la ciberseguridad como una de las habilidades  más demandados en la industria digital  a través de la comprensión de conceptos básicos como seguridad en el desarrollo de software, criptografía, hacking ético e informática forense. ","Análisis de datos y computación
Informática",Intermedio ,"* Comprender los conceptos de confidencialidad, integridad, disponibilidad aplicados a sistemas de información. Así mismo, el concepto de arquitectura AAA (Authentication, Authorization, Accounting) y los diferentes subdominios de la ciberseguridad.

* Reconocer los fundamentos del ciclo de desarrollo de software seguro, desde la forma como se hace la identificación y aplicación de los requisitos de seguridad. Aplicar los conocimientos en un ejercicio práctico.

* Conocer los fundamentos del hacking ético y cómo este se usa hoy en día para garantizar la seguridad corporativa. Aplicar estos conocimiento en un ejercicio práctico.

* Identificar los fundamentos de la informática forense y su importancia en la investigación de ciberdelitos. Aplicar los conocimientos en un ejercicio práctico para analizar un malware.

* Conocer criptosistemas de la antigüedad y de la era moderna y comprender los criptosistemas modernos y el funcionamiento de algunas primitivas como funciones de Hash y Blockchain.",comprender conceptos confidencialidad integridad disponibilidad aplicados sistemas información mismo concepto arquitectura authentication authorization accounting diferentes subdominios ciberseguridad reconocer fundamentos ciclo desarrollo software seguro forma identificación aplicación requisitos seguridad aplicar conocimientos ejercicio práctico conocer fundamentos hacking ético garantizar seguridad corporativa aplicar conocimiento ejercicio práctico identificar fundamentos informática forense importancia investigación ciberdelitos aplicar conocimientos ejercicio práctico analizar malware conocer criptosistemas antigüedad moderna comprender criptosistemas modernos funcionamiento primitivas funciones blockchain 
86,Introducción a machine learning,"Comprender los conceptos básicos del aprendizaje automático de máquinas, usando un acercamiento algebraico.",Análisis de datos y computación,Introductorio,"* Definir las diferencias entre aprendizaje supervisado y no supervisado.

* Describir los problemas de regresión y clasificación, sus principales 
características y sus aplicaciones.

* Describir el origen de las redes neuronales artificiales y su desarrollo histórico.
* Explicar la arquitectura y el funcionamiento de la estructura de una red neuronal artificial feedforward.

* Implementar problemas de regresión y clasificación utilizando redes neuronales artificiales.

* Identificar el procedimiento adecuado para el entrenamiento de modelos utilizando redes neuronales artificiales, y algunos métodos existentes para identificar los modelos que tengan el mejor rendimiento.

* Identificar diferentes metodologías para el desarrollo de modelos de aprendizaje no supervisado.",definir diferencias aprendizaje supervisado supervisado describir problemas regresión clasificación principales características aplicaciones describir origen redes neuronales artificiales desarrollo histórico explicar arquitectura funcionamiento estructura neuronal artificial feedforward implementar problemas regresión clasificación utilizando redes neuronales artificiales identificar procedimiento adecuado entrenamiento modelos utilizando redes neuronales artificiales métodos existentes identificar modelos mejor rendimiento identificar diferentes metodologías desarrollo modelos aprendizaje supervisado 
87,Fundamentos de la innovacion empresarial ,"Identificar los conceptos generales de la innovación, para la comprensión del fenómeno desde su capacidad para generar valor en las empresas.","Innovación y resolución de problemas
Negocios y administración
Ciencis sociales
",Intermedio,"* Comprender el papel de la innovación en la estrategia empresarial y las
herramientas disponibles para su gestión, planificación y dirección.

* Reconocer el rol de la Innovación como sistema de generación de valor en empresas
manufactureras.

* Expresar las lógicas y procesos propios del pensamiento innovador que le permiten generar ideas y materializarlas, transformando su entorno.

* Proponer soluciones a problemas organizacionales relacionados con el diseño, implementación, producción, comercialización y difusión de innovaciones.",comprender papel innovación estrategia empresarial herramientas disponibles gestión planificación dirección reconocer innovación sistema generación valor empresas manufactureras expresar lógicas procesos propios pensamiento innovador permiten generar ideas materializarlas transformando entorno proponer soluciones problemas organizacionales relacionados diseño implementación producción comercialización difusión innovaciones 
88,Introducción a la analítica de negocios ,Identificar los conceptos básicos y claves de la analítica de datos empresarial y su uso para resolver problemas de gran complejidad.,"Negocios y administración
",Intermedio,"* Comprender el proceso global de la analítica de datos en la estrategia corporativa y herramientas disponibles para su gestión, modelamiento, y uso.

* Reconocer el rol de la analítica de datos como sistema de generación de valor y toma de decisiones efectiva. 

* Describir adecuadamente las principales herramientas de modelamiento con analítica de datos, su uso y aplicabilidad.

* Conocer la visualización de información, su correcto análisis y generación de reportes, para facilitar la interpretación de los resultados. ",comprender proceso global analítica datos estrategia corporativa herramientas disponibles gestión modelamiento reconocer analítica datos sistema generación valor decisiones efectiva describir adecuadamente principales herramientas modelamiento analítica datos aplicabilidad conocer visualización información correcto análisis generación reportes facilitar interpretación resultados 
89,El poder de la comunicación consciente,"Identificar herramientas y metodologías para evolucionar en las relaciones interpersonales a partir de la comunicación consciente,  que se mantenga en todos los ámbitos humanos.","Ciencias humanas
Comunicación",Introductorio,"* Contextualizar la comunicación como un proceso inherente a los seres humanos a partir de la revisión de los conceptos básicos que la explican.

* Significar el valor del silencio y el diálogo interno como fuentes activas de la comunicación propositiva.

* Precisar la importancia que tiene la dimensión emocional en el proceso comunicativo para aplicarlo de manera más asertiva en las relaciones interpersonales.

* Aplicar herramientas de uso personal para mantener una dinámica de comunicación intra e interpersonal asertiva.",contextualizar comunicación proceso inherente seres humanos partir revisión conceptos básicos explican significar valor silencio diálogo interno fuentes activas comunicación propositiva precisar importancia dimensión emocional proceso comunicativo aplicarlo manera asertiva relaciones interpersonales aplicar herramientas personal mantener dinámica comunicación intra interpersonal asertiva 
90,Prototipado de proyectos tecnológico-sociales,Identificar los elementos necesarios en la  construcción de prototipos en el contexto del internet del todo para la resolución de problemáticas sociales.,"Innovación y resolución de problemas
Diseño",Introductorio,"* Identificar las tecnologías de la Revolución 4.0

* Reconocer la etapa en el ciclo de diseño de un proyecto tecnológicosocial.

* Aprender a utilizar el hardware Photon de Particle.

 *Programar los Photones de Particle con la herramienta Build para interactuar entre sí.

* Integrar una solución con Photon, Glide y Google Sheets.

* Entender la forma de validar los prototipos tecnológicos con los usuarios. ",identificar tecnologías revolución reconocer etapa ciclo diseño proyecto tecnológicosocial aprender utilizar hardware photon particle programar photones particle herramienta build interactuar integrar solución photon glide google sheets entender forma validar prototipos tecnológicos usuarios 
91,Protothinking para proyectos sociales,Identificar la ruta de prototipado para activar un proyecto de innovación social.,Innovación y resolución de problemas,Introductorio,"* Establecer una ruta para consolidar tus estrategias con enfoque social.

* Facilitar un proceso de diseño para proyectos sociales y liderar actividades en encuentros, reuniones, talleres y otros espacios donde requieras socializarlos.

*  Aplicar técnicas de diseño enfocadas en el prototipado rápido para llevar tus ideas a la acción.

* Manejar herramientas de definición, empatía, exploración y validación para estrategias de innovación. ",establecer consolidar estrategias enfoque social facilitar proceso diseño proyectos sociales liderar actividades encuentros reuniones talleres espacios requieras socializarlos aplicar técnicas diseño enfocadas prototipado rápido llevar ideas acción manejar herramientas definición empatía exploración validación estrategias innovación 
92,Identidad latinoamericana a través de la moda: prendas con historia, Aprender y cuestionar la historia de nuestra identidad a través de prendas que han marcado y fundamentado nuestro estilo personal,"Arte, diseño y cultura",Introductorio ,"* Recorrido sobre tocados, sombreros y mochilas en nuestra cultura y su influencia africana, indígena. 

* Acercamiento a significados de cubrir el cuerpo en Colombia y su relación con los Andes Latinoamericanos. Relación con otras latitudes.

* Introducción a la historia de la falda a través de la historia nativa y cotidiana y sus transformaciones y significados en una actualidad feminista.

*Acercamiento a las consecuencias que ha tenido la situación política en la moda. Introducción a la Historia del calzado e influencias en Latinoamérica.
",recorrido tocados sombreros mochilas cultura influencia africana indígena acercamiento significados cubrir cuerpo colombia relación andes latinoamericanos relación latitudes introducción historia falda través historia nativa cotidiana transformaciones significados actualidad feminista acercamiento consecuencias situación política moda introducción historia calzado influencias latinoamérica 
93,"Historia global de la arquitectura islámica: espacio, ciudad, arte","Descubrir el legado de los pueblos islámicos en el Mediterráneo y el mundo y desdibujar los límites entre oriente y occidente, identificar las conexiones de tu entorno con Al-Ándalus y conocer los principios del Islam aplicables en la arquitectura contemporánea.","Arte, diseño y cultura",Introductorio ,"* Reconocer la cultura islámica a partir de su origen y su expansión, a partir de una aproximación global al mundo islámico y a la mezquita como primer espacio sagrado de esta religión. 

* Reconocer la mezquita desde los casos más relevantes a nivel mundial y su papel como cuna del desarrollo científico y la educación superior islámica.

* Reconocer la fundación de Medina como primera ciudad del Islam y su relación con los mitos fundacionales clásicos, así mismo reconocer las lógicas urbanas y legales que dan sentido a la estructura irregular de las ciudades islámicas. 

* Reconocer la fundación de Medina como primera ciudad del Islam y su relación con los  Reconocer los grandes palacios que en el mundo Islámico aparecen como conjuntos urbanos o medinas palatinas. Así mismo, recoccer arquitecturas recientes que se han desarrollado sobre estos palacios interpretando sus estrategias arquitectónicas desde la sensibilidad contemporánea.Reconocer los grandes palacios que en el mundo Islámico aparecen como conjuntos urbanos o medinas palatinas. Así mismo, recoccer arquitecturas recientes que se han desarrollado sobre estos palacios interpretando sus estrategias arquitectónicas desde la sensibilidad contemporánea.",reconocer cultura islámica partir origen expansión partir aproximación global mundo islámico mezquita primer espacio sagrado religión reconocer mezquita casos relevantes nivel mundial papel desarrollo científico educación superior islámica reconocer fundación medina primera ciudad islam relación mitos fundacionales clásicos mismo reconocer lógicas urbanas legales estructura irregular ciudades islámicas reconocer fundación medina primera ciudad islam relación reconocer grandes palacios mundo islámico aparecen conjuntos urbanos medinas palatinas mismo recoccer arquitecturas recientes desarrollado palacios interpretando estrategias arquitectónicas sensibilidad contemporáneareconocer grandes palacios mundo islámico aparecen conjuntos urbanos medinas palatinas mismo recoccer arquitecturas recientes desarrollado palacios interpretando estrategias arquitectónicas sensibilidad contemporánea 
94,"Historia latinoamericana a través de objetos de arte, diseño y artesanía","Examinar objetos artesanales, artísticos y de diseño para abordar narrativas centrales en la historia de Latinoamérica. Basados en variables como concepción, materialidad, uso, apropiación, reparación/conservación o desecho de un grupo de objetos, revisitaremos momentos significativos de la historia política, económica y social de la región en el contexto global.","Arte, diseño y cultura",Introductorio,"
*  Identificar momentos significativos de la historia latinoamericana a través de objetos de arte, diseño y artesanía.

*  Desarrollar una perspectiva crítica ante narrativas históricas tradicionales.

*  Reconocer el valor de la cultura material latinoamericana en el contexto global.
 
* Identificar materiales, técnicas y estilos propios de la región.

*  Reconocer distintas etapas en la “vida” de distintos objetos y su valor histórico.

* Extrapolar el valor histórico de los objetos del pasado al uso y consumo de objetos en el presente.",identificar momentos significativos historia latinoamericana través objetos arte diseño artesanía desarrollar perspectiva crítica narrativas históricas tradicionales reconocer valor cultura material latinoamericana contexto global identificar materiales técnicas estilos propios región reconocer distintas etapas vida distintos objetos valor histórico extrapolar valor histórico objetos pasado consumo objetos presente 
0,Programación de computadores ,"Este es un primer curso de programación dedicado a que el estudiante gane facilidad y confianza 
en la programación de rutinas en un lenguaje de computador específico. El alumno desarrollará 
la habilidad de resolver problemas a través de programas computacionales. El alumno debe 
ganar práctica y comprensión en la implementación de código secuencial, el uso de variables y 
memoria, el tipo de datos disponibles, las instrucciones de control. También ganará experiencia 
en el manejo de clases y objetos. El alumno también re cibirá una introducción a los algoritmos, 
su análisis e implementación. Puede darse en distintos tipos de lenguajes de tipo científico o 
comercial según el profesor y la dirección del programa. Incluye la debida documentación del 
código y las labores de se guimiento y depurando rutinas.  
 
Los lenguajes de programación utilizados serán python (Hasta la semana 13) y C++ (Semana 14 en 
adelante).  
 
4. Conceptos fundamentales  
      
1. Introducción a la programación con Karel  
2. Variables, expresiones y enunciados  
3. Ejecución  Condicional  
4. Ejecución Iterativa  
5. Estructuras de datos simples  
6. Programación orientada a objetos  
7. Manejo de memoria  
8. Eventos e interfaces gráficas  
  
 
 
 
 
 
 
 
 
5. Resultados de aprendizaje esperados (RAE)  
 
1. Identificar los elementos principales de un programa de computación.  
2. Aplicar las diferentes instrucciones de control de un programa de computación para alcanzar 
los objetivos específicos del programa.  
3. Hacer uso de las estructuras de datos apropiadas para el almacenamiento y la gestión de la 
información dentro de un programa . 
4. Evaluar la capacidad de un programa computacional para alcanzar un resultado.  
5. Analizar algoritmos básicos para determinar los pasos que lo compone.  
6. Formular soluciones a problemas y las implementa en un programa de computación 
empleando las herramientas vistas en clase.  
 
6",Analítica de Datos y Mercado,Pregrado,"1. Identificar los elementos principales de un programa de computación.  
2. Aplicar las diferentes instrucciones de control de un programa de computación para alcanzar 
los objetivos específicos del programa.  
3. Hacer uso de las estructuras de datos apropiadas para el almacenamiento y la gestión de la 
información dentro de un programa . 
4. Evaluar la capacidad de un programa computacional para alcanzar un resultado.  
5. Analizar algoritmos básicos para determinar los pasos que lo compone.  
6. Formular soluciones a problemas y las implementa en un programa de computación 
empleando las herramientas vistas en clase.  
 
6",identificar elementos principales programa computación aplicar diferentes instrucciones control programa computación alcanzar objetivos específicos programa hacer estructuras datos apropiadas almacenamiento gestión información dentro programa evaluar capacidad programa computacional alcanzar resultado analizar algoritmos básicos determinar pasos compone formular soluciones problemas implementa programa computación empleando herramientas vistas clase 
1,   ALGORITMOS Y ESTRUCTURA DE DATOS   ,"Este curso se dedica a formar en el alumno las habilidades apropiadas para diseñar sus propios 
algoritmos y con ellos sus propias estructuras de datos apropiadas para resolver problemas. Se 
consideran estructuras generales como árboles, listas enlazadas, arreglos, pilas, colas, entre otros, 
así como algoritmos de recursión, ordenamiento, selección y búsqueda. No es un curso de 
programación, es un curso de análisis y diseño de algoritmos con propósitos específicos, que se 
implementan sobre una plataforma (compilador/interprete). Hace parte muy importante del curso 
la implementación, documentación, sustentación, análisis lógico metódico y demostraciones 
(pruebas) sobr e casos de uso y teoremas. Se introducen diversos tipos de algoritmos y estructuras 
de datos para dar herramientas al alumno. Se fomenta el trabajo tanto independiente como en 
grupo para implementar soluciones algorítmicas a problemas prácticos.   
  
Resulta dos de aprendizaje esperados (RAE)   
1. Identificar los patrones y partes de un problema.   
2. Implementar algoritmos de conteo, búsqueda, selección y ordenamiento.   
3. Utilizar estructuras de datos básicas y avanzadas.   
4. Identificar los elementos lógicos y procedimentales que requiere un algoritmo con una 
función y propósitos específicos dentro de un sistema de compilación apropiado.   
5. Explicar los conceptos y técnicas aprendidos en el curso.   
6. Identificar las características clave que afecta la eficiencia de un algoritmo   
7. Concebir nuevos algoritmos a partir de las herramientas aprendidas en clase.   
  Contenidos   
1. Estructuras lineales: vectores, listas, pilas, colas.   
2. Estructuras asociativas: conjuntos y mapas.   
3. Algoritmos de búsqueda, ordenamiento y selección.   
4. Análisis de Algoritmos. Complejidad computacional.   
5. Recursión.   
6. Punteros y manejo dinámico de memoria en C++.   
7. Arreglos. Listas enlazadas.   
8. Árboles de búsqueda binaria.   
9. Tablas hash.   
10. Montículos binarios (binary heaps).   
11. Merge sort, heapsort y quicksort.   
  
Bibliografía   
  
1. Roberts, Eric. (2013).Programming Abstractions in C++. Pearson.   
2. Weiss, Mark A. (2013).Data Structures and Algorithm Analysis in C++. Prentice Hall   
3. Cormen, Thomas H., Leiserson, Charles E., Rivest, Ronald L. & Stein, Clifford. (2009). 
Introduction to Algorithms. Tercera edición. MIT Press.   
4. Dasgupta, S., Papadimitriou, C. H. & Vazirani, U. V. (2006). Algorithms. McGraw -Hill.  
5. Deitel, Paul & Deitel, Harvey. (2016).C++ How to Program. Décima edición. Pearson.   
  
  ",Analítica de Datos y Mercado,Pregrado,"1. Identificar los patrones y partes de un problema.   
2. Implementar algoritmos de conteo, búsqueda, selección y ordenamiento.   
3. Utilizar estructuras de datos básicas y avanzadas.   
4. Identificar los elementos lógicos y procedimentales que requiere un algoritmo con una 
función y propósitos específicos dentro de un sistema de compilación apropiado.   
5. Explicar los conceptos y técnicas aprendidos en el curso.   
6. Identificar las características clave que afecta la eficiencia de un algoritmo   
7. Concebir nuevos algoritmos a partir de las herramientas aprendidas en clase.   
  Contenidos   
1. Estructuras lineales: vectores, listas, pilas, colas.   
2. Estructuras asociativas: conjuntos y mapas.   
3. Algoritmos de búsqueda, ordenamiento y selección.   
4. Análisis de Algoritmos. Complejidad computacional.   
5. Recursión.   
6. Punteros y manejo dinámico de memoria en C++.   
7. Arreglos. Listas enlazadas.   
8. Árboles de búsqueda binaria.   
9. Tablas hash.   
10. Montículos binarios (binary heaps).   
11. Merge sort, heapsort y quicksort.   
  
Bibliografía   
  
1. Roberts, Eric. (2013).Programming Abstractions in C++. Pearson.   
2. Weiss, Mark A. (2013).Data Structures and Algorithm Analysis in C++. Prentice Hall   
3. Cormen, Thomas H., Leiserson, Charles E., Rivest, Ronald L. & Stein, Clifford. (2009). 
Introduction to Algorithms. Tercera edición. MIT Press.   
4. Dasgupta, S., Papadimitriou, C. H. & Vazirani, U. V. (2006). Algorithms. McGraw -Hill.  
5. Deitel, Paul & Deitel, Harvey. (2016).C++ How to Program. Décima edición. Pearson.   
  
  ",identificar patrones partes problema implementar algoritmos conteo búsqueda selección ordenamiento utilizar estructuras datos básicas avanzadas identificar elementos lógicos procedimentales requiere algoritmo función propósitos específicos dentro sistema compilación apropiado explicar conceptos técnicas aprendidos identificar características clave afecta eficiencia algoritmo concebir nuevos algoritmos partir herramientas aprendidas clase contenidos estructuras lineales vectores listas pilas colas estructuras asociativas conjuntos mapas algoritmos búsqueda ordenamiento selección análisis algoritmos complejidad computacional recursión punteros manejo dinámico memoria arreglos listas enlazadas árboles búsqueda binaria tablas hash montículos binarios binary heaps merge sort heapsort quicksort bibliografía roberts eric 2013programming abstractions pearson weiss 2013data structures algorithm analysis prentice cormen thomas leiserson charles rivest ronald stein clifford 2009 introduction algorithms tercera edición press dasgupta papadimitriou vazirani 2006 algorithms mcgraw hill deitel deitel harvey 2016c program décima edición pearson 
2,   INGENIERÍA DE DATOS   ,"Este curso presenta elementos de diseño, creación y manejo de bases de datos relacionales, 
empleando el lenguaje SQL (structuredquery language). El curso profundiza en aspectos de 
almacenamiento de archivos, índices y procesamiento de consulta, así como en  el control de 
concurrencia y administración de transacciones. El curso también considera aspectos de 
arquitectura de sistemas de bases de datos. Se fomenta el trabajo tanto independiente como en 
grupo para implementar soluciones de bases de datos.   
  
Resu ltados de aprendizaje esperados (RAE)   
1, Crear, acceder y modificar tablas y registros en una base de datos relacional.   
2.Diseñan y crean una base de datos relacional.   
3.Identificar los aspectos principales del diseño de una base de datos relacional.   
4.Emplear el lenguaje SQL para realizar operaciones en una base de datos relacional.   
5.Identificar estrategias de almacenamiento de datos y ejecución de consultas.   
6.Aplicar mecanismos de control de concurrencia y recuperación para administrar transaccion es.  
Contenidos   
  
1, Bases de Datos Relacionales   
2.Diseño de Bases de Datos   
3.Almacenamiento de datos, consultas y administración de transacciones   
  
Bibliografía     
[1] Database System Concepts. A. Silberschatz, H. F. Korth, S. Sudarshan . 6a Ed.12.Bibliografía y 
recursos complementarios   
[2] Fundamentals of Relational Database Management Systems, S. Sumathi, S. Esakkirajan, 
Springer Verlag, 2010   
[3] Bases de Datos, C. Ricardo, McGraw Hill 2009.   
[4] Database Design and Relational Theory:  Normal Forms and All That Jazz, C.J. Date, O’Reilly, 
2012   
[5] Data Management: Databases & Organizations, Richard T. Watson, Wiley, 2005Weiss, Mark A. 
(2011). Data Structures and Algorithm Analysis in Java.Tercera edición. Pearson.   
[6] https://www.postg resql.org/, https://www.pgadmin.org/, https://pgmodeler.io/   
[7] https://dash.plotly.com/[8] https://firebase.google.com/   
  ",Analítica de Datos y Mercado,Pregrado,"1, Crear, acceder y modificar tablas y registros en una base de datos relacional.   
2.Diseñan y crean una base de datos relacional.   
3.Identificar los aspectos principales del diseño de una base de datos relacional.   
4.Emplear el lenguaje SQL para realizar operaciones en una base de datos relacional.   
5.Identificar estrategias de almacenamiento de datos y ejecución de consultas.   
6.Aplicar mecanismos de control de concurrencia y recuperación para administrar transaccion es.  
Contenidos   
  
1, Bases de Datos Relacionales   
2.Diseño de Bases de Datos   
3.Almacenamiento de datos, consultas y administración de transacciones   
  
Bibliografía     
[1] Database System Concepts. A. Silberschatz, H. F. Korth, S. Sudarshan . 6a Ed.12.Bibliografía y 
recursos complementarios   
[2] Fundamentals of Relational Database Management Systems, S. Sumathi, S. Esakkirajan, 
Springer Verlag, 2010   
[3] Bases de Datos, C. Ricardo, McGraw Hill 2009.   
[4] Database Design and Relational Theory:  Normal Forms and All That Jazz, C.J. Date, O’Reilly, 
2012   
[5] Data Management: Databases & Organizations, Richard T. Watson, Wiley, 2005Weiss, Mark A. 
(2011). Data Structures and Algorithm Analysis in Java.Tercera edición. Pearson.   
[6] https://www.postg resql.org/, https://www.pgadmin.org/, https://pgmodeler.io/   
[7] https://dash.plotly.com/[8] https://firebase.google.com/   
  ",crear acceder modificar tablas registros datos relacional 2diseñan crean datos relacional 3identificar aspectos principales diseño datos relacional 4emplear lenguaje realizar operaciones datos relacional 5identificar estrategias almacenamiento datos ejecución consultas 6aplicar mecanismos control concurrencia recuperación administrar transaccion contenidos bases datos relacionales 2diseño bases datos 3almacenamiento datos consultas administración transacciones bibliografía database system concepts silberschatz korth sudarshan ed12bibliografía recursos complementarios fundamentals relational database management systems sumathi esakkirajan springer verlag bases datos ricardo mcgraw 2009 database design relational theory normal forms jazz date oreilly management databases organizations richard watson wiley 2005weiss 2011 structures algorithm analysis javatercera edición pearson httpswwwpostg resqlorg httpswwwpgadminorg httpspgmodelerio httpsdashplotlycom8 httpsfirebasegooglecom 
